Day,Time,Group,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Oxalate (mg),Phytate (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Beta-carotene (µg),Folate (µg),Vitamin A (µg),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Net Carbs (g),Carbs (g),Fiber (g),Insoluble Fiber (g),Soluble Fiber (g),Starch (g),Sugars (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),ALA (g),DHA (g),EPA (g),Omega-6 (g),AA (g),LA (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Category
2023-04-18,7:56 AM,"Breakfast","Fish Oil, Cod Liver","2.00 tsp",81.18,,,,,,,,,,,,,,2700.00,,900.00,,,,,,,,,,,,,,,,,,,,9.00,51.30,4.20,2.03,2.03,,1.78,,0.99,0.62,0.08,,,,,,,,,,,,,,,"Fats and Oils"
2023-04-18,7:56 AM,"Breakfast","Protein milkshake","0.90 full recipe",576.75,0.00,0.00,0.97,0.00,425.63,0.27,0.67,0.51,1.75,0.29,2.61,33.82,0.00,152.58,0.00,185.52,0.24,1.45,799.55,0.00,0.74,57.97,0.00,487.95,724.68,9.18,286.24,2.03,39.98,40.00,0.00,0.00,0.00,0.00,37.27,17.51,170.90,3.32,0.52,9.81,0.54,0.07,0.06,0.00,0.00,0.43,0.02,0.41,0.09,0.47,0.84,1.61,1.44,0.43,0.78,67.13,0.74,0.21,0.78,1.00,""
2023-04-18,11:39 AM,"Lunch","Home made burger","0.23 full recipe",393.86,0.00,0.00,0.73,10.71,117.18,0.08,0.33,7.54,1.15,0.56,3.78,2.44,17.30,27.75,0.91,19.19,0.33,1.74,68.35,0.13,5.21,36.44,0.06,324.28,507.04,35.72,1396.40,9.82,11.59,12.51,0.85,0.22,0.20,0.85,2.10,18.16,175.74,7.32,0.77,6.95,0.55,0.01,0.01,0.00,0.00,0.60,0.08,0.50,0.44,1.30,1.81,3.17,3.33,1.05,1.61,42.37,1.58,0.22,1.27,2.01,""
2023-04-18,11:40 AM,"Lunch","Hellmann's, Real Mayonnaise","1.00 tbsp",90.00,,,,,2.82,0.00,0.01,0.00,,0.00,,,,,,,1.53,3.21,0.91,,0.03,0.13,,3.25,1.82,0.21,90.00,0.02,0.04,0.04,,,,,0.04,10.00,10.00,2.50,6.00,1.50,,0.65,,,,5.27,,,,,,,,,,0.00,,,,,"Fats and Oils"
2023-04-18,7:29 PM,"Dinner","Egg Noodles, Cooked in Unsalted Water","150.00 g",207.00,0.00,0.00,17.07,127.50,101.60,0.43,0.20,3.12,0.39,0.07,0.14,1.50,207.00,9.12,0.00,6.00,0.26,0.00,18.00,0.15,2.21,31.50,0.47,114.00,57.00,35.85,7.50,0.98,35.91,37.74,1.80,1.44,0.36,35.34,0.60,3.11,43.50,0.87,0.83,0.63,0.04,0.04,0.04,0.00,0.00,0.78,0.00,0.78,0.14,0.18,0.29,0.55,0.21,0.13,0.36,6.81,0.21,0.06,0.14,0.33,"Cereal Grains and Pasta"
2023-04-18,7:29 PM,"Dinner","Eggs, Cooked","2.00 extra large",173.60,0.00,0.00,0.00,0.00,83.57,0.07,0.57,0.07,1.57,0.14,1.24,12.32,49.28,167.25,0.00,97.44,1.15,0.34,56.00,0.01,1.33,11.20,0.03,192.64,141.12,34.50,138.88,1.18,1.24,1.25,0.00,0.00,0.00,0.00,1.25,11.88,417.76,4.57,1.58,3.66,0.00,0.08,0.03,0.04,0.01,1.47,0.17,1.29,0.33,0.33,0.77,1.20,1.01,0.44,0.75,14.09,0.68,0.17,0.57,0.86,"Dairy and Egg Products"
2023-04-18,7:30 PM,"Dinner","Ground Turkey, 85% lean","50.00 g",129.00,0.00,0.00,0.00,0.00,28.33,0.04,0.13,3.86,0.70,0.23,0.80,0.00,3.50,17.50,0.00,4.00,0.05,0.00,24.50,0.10,0.99,14.00,0.01,131.50,138.00,18.05,42.50,1.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.73,53.00,3.03,2.31,2.29,0.12,0.13,0.11,0.01,0.01,2.10,0.07,2.03,0.13,0.37,0.56,1.04,1.13,0.37,0.49,12.56,0.58,0.14,0.45,0.58,"Poultry Products"
2023-04-18,7:30 PM,"Dinner","Peanuts, Dry Roasted, Salted","8.00 g",46.96,0.00,0.00,11.20,35.84,0.14,0.01,0.02,1.15,0.08,0.04,0.00,0.00,7.76,0.00,0.00,0.00,0.39,0.00,4.64,0.03,0.13,14.24,0.14,29.04,50.72,0.74,32.96,0.22,1.02,1.70,0.67,0.67,0.04,0.35,0.39,3.97,0.00,2.09,0.78,0.62,0.00,0.00,0.00,0.00,0.00,0.78,0.00,0.78,0.02,0.05,0.07,0.12,0.07,0.02,0.10,1.95,0.06,0.02,0.08,0.08,"Nut and Seed Products"
2023-04-18,7:31 PM,"Dinner","Coconut Cream, Liquid from Grated Meat","2.00 tbsp",99.00,0.00,0.00,0.09,186.00,16.17,0.01,0.00,0.27,0.08,0.01,0.00,0.00,6.90,0.00,0.84,0.00,0.05,0.63,3.30,0.11,0.68,8.40,0.39,36.60,97.50,0.30,1.20,0.29,1.33,1.99,0.66,0.59,0.07,0.00,1.27,10.40,0.00,0.44,0.11,9.23,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.02,0.02,0.04,0.08,0.05,0.02,0.06,1.09,0.04,0.01,0.03,0.07,"Fats and Oils"
2023-04-18,7:31 PM,"Dinner","Curry Paste, Red","1.00 tsp",5.78,0.00,0.00,1.48,3.57,2.57,0.01,0.01,0.12,0.01,0.04,0.00,495.19,2.56,41.65,1.09,0.00,0.09,1.71,6.67,0.02,0.15,3.31,0.04,6.36,44.71,0.10,189.94,0.04,1.14,1.35,0.20,0.13,0.07,0.11,0.54,0.03,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.28,0.01,0.00,0.01,0.01,"Spices and Herbs"
2023-04-18,7:32 PM,"Dinner","Mango, Fresh","100.00 g",60.00,0.00,0.00,0.45,20.00,83.46,0.03,0.04,0.67,0.20,0.12,0.00,640.00,43.00,54.13,36.40,0.00,0.90,4.20,11.00,0.11,0.16,10.00,0.06,14.00,168.00,0.60,1.00,0.09,13.22,14.98,1.60,0.98,0.63,0.23,13.66,0.38,0.00,0.14,0.07,0.09,0.00,0.05,0.05,0.00,0.00,0.02,0.00,0.02,0.00,0.02,0.03,0.05,0.07,0.01,0.03,0.82,0.03,0.01,0.02,0.04,"Fruits and Fruit Juices"
2023-04-18,10:34 AM,"Snacks","Kirkland Signature, Roasted Whole Cashews, Unsalted","15.00 g",87.00,,,,,0.52,0.05,0.03,0.26,0.13,0.05,,,3.75,,0.05,,0.14,5.21,6.00,0.31,0.90,40.95,0.25,79.65,90.00,3.04,1.50,0.80,3.90,4.50,0.60,,,1.64,0.90,7.20,0.00,3.89,1.28,1.35,0.00,0.01,,,,1.27,,,0.05,0.06,0.11,0.20,0.13,0.05,0.13,2.40,0.10,0.04,0.07,0.15,"Nut and Seed Products"
2023-04-18,2:06 PM,"Snacks","Body Energy Club, Clean Whey, Vanilla","23.00 g",86.25,,,,,,,,,,,,,,0.00,0.00,,,,71.88,,0.26,,,,,,35.94,,2.16,2.16,0.00,,,,1.44,0.72,39.53,,,0.29,0.00,,,,,,,,,,,,,,,17.97,,,,,"Supplements"
2023-04-18,2:06 PM,"Snacks","Liberte, Greek Yogurt, Extra Creamy, Plain","95.00 g",86.86,,,,,,,,,,,,,,,,,,,122.14,,0.00,,,,135.71,,35.29,,3.26,3.26,0.00,,,,3.26,4.89,16.29,,,2.71,0.16,,,,,,,,,,,,,,,8.14,,,,,"Dairy and Egg Products"
2023-04-18,2:06 PM,"Snacks","Eisele's, Raw Honey","10.00 g",30.48,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,8.10,8.10,,,,,7.62,0.00,,,,,,,,,,,,,,,,,,,,0.00,,,,,"Sweets"
2023-04-18,4:53 PM,"Snacks","Peanuts, Dry Roasted, Salted","20.00 g",117.40,0.00,0.00,28.00,89.60,0.36,0.03,0.04,2.87,0.20,0.09,0.00,0.00,19.40,0.00,0.00,0.00,0.99,0.00,11.60,0.09,0.32,35.60,0.36,72.60,126.80,1.86,82.40,0.55,2.54,4.25,1.68,1.68,0.09,0.88,0.98,9.93,0.00,5.24,1.95,1.54,0.01,0.01,0.01,0.00,0.00,1.94,0.00,1.94,0.06,0.12,0.17,0.31,0.17,0.06,0.25,4.87,0.16,0.05,0.19,0.20,"Nut and Seed Products"
2023-04-19,7:25 AM,"Uncategorized","CanPrev, Magnesium Bis-Glycinate 200","2.00 capsule",,,,,,,,,,,,,,,,,,,,,,,400.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Supplements"
2023-04-19,7:02 AM,"Breakfast","Gym water","1.00 full recipe",20.30,0.00,0.00,0.00,0.00,749.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.50,0.08,0.00,122.50,0.00,0.00,0.00,0.00,30.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,""
2023-04-19,8:02 AM,"Breakfast","Protein milkshake","0.90 full recipe",576.75,0.00,0.00,0.97,0.00,425.63,0.27,0.67,0.51,1.75,0.29,2.61,33.82,0.00,152.58,0.00,185.52,0.24,1.45,799.55,0.00,0.74,57.97,0.00,487.95,724.68,9.18,286.24,2.03,39.98,40.00,0.00,0.00,0.00,0.00,37.27,17.51,170.90,3.32,0.52,9.81,0.54,0.07,0.06,0.00,0.00,0.43,0.02,0.41,0.09,0.47,0.84,1.61,1.44,0.43,0.78,67.13,0.74,0.21,0.78,1.00,""
2023-04-19,8:02 AM,"Breakfast","Fish Oil, Cod Liver","2.00 tsp",81.18,,,,,,,,,,,,,,2700.00,,900.00,,,,,,,,,,,,,,,,,,,,9.00,51.30,4.20,2.03,2.03,,1.78,,0.99,0.62,0.08,,,,,,,,,,,,,,,"Fats and Oils"
2023-04-19,12:05 PM,"Lunch","Lettuce, Iceberg","50.00 g",7.00,0.00,0.00,0.30,0.90,47.75,0.03,0.01,0.11,0.05,0.02,0.00,149.50,14.50,12.54,1.40,0.00,0.11,10.25,7.00,0.02,0.02,3.00,0.04,9.50,69.50,0.05,8.00,0.09,1.07,1.69,0.60,0.54,0.06,0.00,0.99,0.04,0.00,0.00,0.02,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.01,0.37,0.01,0.00,0.00,0.01,"Vegetables and Vegetable Products"
2023-04-19,12:06 PM,"Lunch","White Rice, Cooked in Unsalted Water","140.00 g",182.00,0.00,0.00,3.36,62.75,95.82,0.23,0.02,2.07,0.55,0.13,0.00,0.00,59.92,0.00,0.00,0.00,0.06,0.00,14.00,0.10,1.68,16.80,0.66,60.20,49.00,10.50,1.40,0.69,38.94,39.44,0.48,0.48,0.00,32.20,0.04,0.39,0.00,0.12,0.11,0.11,0.00,0.02,0.02,0.00,0.00,0.09,0.00,0.09,0.08,0.09,0.16,0.31,0.14,0.09,0.20,3.77,0.13,0.04,0.13,0.23,"Cereal Grains and Pasta"
2023-04-19,12:07 PM,"Lunch","Home made burger","170.00 g",340.86,0.00,0.00,0.63,9.27,101.41,0.07,0.29,6.52,1.00,0.49,3.27,2.11,14.97,24.02,0.79,16.61,0.28,1.51,59.15,0.11,4.51,31.54,0.05,280.64,438.80,30.91,1208.48,8.50,10.03,10.83,0.74,0.19,0.18,0.73,1.82,15.71,152.09,6.33,0.67,6.01,0.48,0.01,0.00,0.00,0.00,0.52,0.07,0.44,0.38,1.12,1.56,2.74,2.89,0.90,1.39,36.67,1.37,0.19,1.10,1.74,""
2023-04-19,12:08 PM,"Lunch","Eggs, Cooked","2.00 extra large",173.60,0.00,0.00,0.00,0.00,83.57,0.07,0.57,0.07,1.57,0.14,1.24,12.32,49.28,167.25,0.00,97.44,1.15,0.34,56.00,0.01,1.33,11.20,0.03,192.64,141.12,34.50,138.88,1.18,1.24,1.25,0.00,0.00,0.00,0.00,1.25,11.88,417.76,4.57,1.58,3.66,0.00,0.08,0.03,0.04,0.01,1.47,0.17,1.29,0.33,0.33,0.77,1.20,1.01,0.44,0.75,14.09,0.68,0.17,0.57,0.86,"Dairy and Egg Products"
2023-04-19,12:09 PM,"Lunch","Butter, Salted","2.00 tsp",68.87,0.00,0.00,0.01,0.00,1.49,0.00,0.00,0.00,0.01,0.00,0.00,15.89,0.47,71.75,0.00,1.51,0.00,0.66,1.99,0.00,0.01,0.19,0.00,2.08,2.18,0.00,49.57,0.01,0.05,0.05,0.00,0.00,0.00,0.00,0.05,7.78,22.23,1.60,0.24,4.31,0.31,0.04,0.03,0.00,0.00,0.19,0.01,0.18,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.08,0.00,0.00,0.00,0.00,"Fats and Oils"
2023-04-19,12:12 PM,"Lunch","Lemon Juice, Raw","0.50 each - juice from one lemon",5.28,0.00,0.00,0.12,0.00,22.15,0.01,0.00,0.02,0.03,0.01,0.00,0.24,4.80,0.06,9.29,0.00,0.04,0.00,1.44,0.00,0.02,1.44,0.00,1.92,24.72,0.02,0.24,0.01,1.58,1.66,0.07,0.07,0.00,0.00,0.60,0.06,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,"Fruits and Fruit Juices"
2023-04-19,6:18 PM,"Dinner","Egg fried rice with shrimp (Avacado oil)","0.80 full recipe",484.28,0.00,0.00,17.49,120.49,413.02,0.44,0.51,2.24,1.91,0.53,0.78,6057.41,102.25,714.17,23.69,61.25,2.86,34.96,113.62,0.26,2.95,60.69,1.11,265.08,597.98,33.47,182.80,2.24,55.81,63.73,7.44,5.11,2.33,35.03,14.00,19.28,262.59,10.71,2.77,3.80,0.00,0.20,0.17,0.03,0.00,2.30,0.10,2.19,0.32,0.38,0.77,1.25,1.03,0.40,0.80,17.33,0.75,0.19,0.56,0.90,"Ethnic Foods"
2023-04-19,6:19 PM,"Dinner","Eggs, Cooked","3.00 extra large",260.40,0.00,0.00,0.00,0.00,125.36,0.11,0.86,0.11,2.35,0.20,1.86,18.48,73.92,250.88,0.00,146.16,1.73,0.50,84.00,0.02,2.00,16.80,0.04,288.96,211.68,51.74,208.32,1.76,1.87,1.88,0.00,0.00,0.00,0.00,1.88,17.82,626.64,6.85,2.38,5.49,0.00,0.12,0.04,0.06,0.01,2.21,0.25,1.94,0.49,0.50,1.15,1.81,1.52,0.66,1.12,21.13,1.01,0.26,0.86,1.29,"Dairy and Egg Products"
2023-04-19,1:43 PM,"Snacks","Kirkland Signature, Roasted Whole Cashews, Unsalted","15.00 g",87.00,,,,,0.52,0.05,0.03,0.26,0.13,0.05,,,3.75,,0.05,,0.14,5.21,6.00,0.31,0.90,40.95,0.25,79.65,90.00,3.04,1.50,0.80,3.90,4.50,0.60,,,1.64,0.90,7.20,0.00,3.89,1.28,1.35,0.00,0.01,,,,1.27,,,0.05,0.06,0.11,0.20,0.13,0.05,0.13,2.40,0.10,0.04,0.07,0.15,"Nut and Seed Products"
2023-04-19,10:19 AM,"Snacks","Coffe & Milk","1.00 full recipe",49.30,0.00,142.08,1.57,24.86,420.21,0.09,0.38,0.76,1.18,0.05,0.41,5.34,7.10,24.08,0.00,29.28,0.07,0.58,100.89,0.01,0.04,19.81,0.08,87.67,288.42,1.45,36.08,0.39,3.53,5.20,1.67,0.00,1.67,0.00,3.53,2.51,9.15,0.58,0.09,1.43,0.09,0.01,0.01,0.00,0.00,0.07,0.00,0.06,0.02,0.08,0.14,0.27,0.23,0.07,0.13,2.92,0.12,0.03,0.13,0.17,""
2023-04-19,8:02 AM,"Snacks","Coffe & Milk","1.00 full recipe",49.30,0.00,142.08,1.57,24.86,420.21,0.09,0.38,0.76,1.18,0.05,0.41,5.34,7.10,24.08,0.00,29.28,0.07,0.58,100.89,0.01,0.04,19.81,0.08,87.67,288.42,1.45,36.08,0.39,3.53,5.20,1.67,0.00,1.67,0.00,3.53,2.51,9.15,0.58,0.09,1.43,0.09,0.01,0.01,0.00,0.00,0.07,0.00,0.06,0.02,0.08,0.14,0.27,0.23,0.07,0.13,2.92,0.12,0.03,0.13,0.17,""
2023-04-20,7:25 AM,"Uncategorized","CanPrev, Magnesium Bis-Glycinate 200","2.00 capsule",,,,,,,,,,,,,,,,,,,,,,,400.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Supplements"
2023-04-20,7:41 AM,"Breakfast","Milk, Whole","1.80 cup",263.52,0.00,0.00,0.88,0.00,386.94,0.25,0.61,0.46,1.59,0.27,2.37,30.74,0.00,138.71,0.00,168.65,0.22,1.32,540.22,0.00,0.00,52.70,0.00,443.59,658.80,8.34,166.90,1.84,20.32,20.33,0.00,0.00,0.00,0.00,20.33,14.05,52.70,3.02,0.47,8.17,0.49,0.07,0.05,0.00,0.00,0.39,0.02,0.37,0.08,0.43,0.76,1.46,1.31,0.40,0.71,14.36,0.68,0.19,0.71,0.91,"Dairy and Egg Products"
2023-04-20,7:42 AM,"Breakfast","Body Energy Club, Clean Whey, Vanilla","2.00 scoop",240.00,,,,,,,,,,,,,,0.00,0.00,,,,200.00,,0.72,,,,,,100.00,,6.00,6.00,0.00,,,,4.00,2.00,110.00,,,0.80,0.00,,,,,,,,,,,,,,,50.00,,,,,"Supplements"
2023-04-20,7:45 AM,"Breakfast","Eisele's, Raw Honey","15.00 g",45.71,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,12.14,12.14,,,,,11.43,0.00,,,,,,,,,,,,,,,,,,,,0.00,,,,,"Sweets"
2023-04-20,12:21 PM,"Lunch","Shrimp, Mixed Species, Raw","113.00 g",80.23,0.00,0.00,,,93.80,0.02,0.02,2.01,0.09,0.18,1.25,0.00,21.47,61.02,0.00,4.52,1.49,0.34,61.02,0.21,0.24,24.86,0.03,275.72,127.69,33.45,639.58,1.10,1.03,1.03,0.00,,,0.00,0.00,1.14,142.38,0.20,0.33,0.29,0.02,,0.01,0.08,0.08,,0.01,0.10,0.18,0.34,0.71,1.32,1.47,0.45,0.67,15.38,0.61,0.18,0.58,0.72,"Finfish and Shellfish Products"
2023-04-20,7:22 AM,"Lunch","Egg fried rice with shrimp (Avacado oil)","0.75 full recipe",454.01,0.00,0.00,16.40,112.96,387.20,0.41,0.48,2.10,1.79,0.50,0.73,5678.82,95.86,669.54,22.21,57.42,2.69,32.77,106.52,0.25,2.77,56.89,1.04,248.51,560.61,31.38,171.37,2.10,52.32,59.75,6.98,4.79,2.18,32.85,13.13,18.07,246.18,10.04,2.60,3.56,0.00,0.18,0.16,0.03,0.00,2.16,0.10,2.06,0.30,0.35,0.72,1.17,0.97,0.37,0.75,16.25,0.71,0.18,0.52,0.85,"Ethnic Foods"
2023-04-20,6:11 PM,"Dinner","Pita Bread, White","44.00 g",121.00,0.00,0.00,13.60,48.84,14.12,0.26,0.14,2.04,0.17,0.01,0.00,0.00,72.60,0.00,0.00,0.00,0.13,0.09,37.84,0.07,1.15,11.44,0.21,42.68,52.80,11.92,235.84,0.37,23.54,24.51,0.97,0.44,0.53,23.11,0.57,0.53,0.00,0.05,0.24,0.07,0.00,0.01,0.01,0.00,0.00,0.23,0.00,0.23,0.09,0.09,0.15,0.28,0.10,0.07,0.20,4.00,0.11,0.05,0.11,0.17,"Baked Products"
2023-04-20,6:12 PM,"Dinner","White Rice, Cooked in Unsalted Water","100.00 g",130.00,0.00,0.00,2.40,44.82,68.44,0.16,0.01,1.48,0.39,0.09,0.00,0.00,42.80,0.00,0.00,0.00,0.04,0.00,10.00,0.07,1.20,12.00,0.47,43.00,35.00,7.50,1.00,0.49,27.81,28.17,0.34,0.34,0.00,23.00,0.03,0.28,0.00,0.09,0.08,0.08,0.00,0.01,0.01,0.00,0.00,0.06,0.00,0.06,0.06,0.06,0.12,0.22,0.10,0.06,0.14,2.69,0.10,0.03,0.09,0.16,"Cereal Grains and Pasta"
2023-04-20,6:12 PM,"Dinner","Chicken Thigh, Skin Eaten","125.00 g",298.75,0.00,0.00,0.00,0.00,73.44,0.09,0.27,8.84,1.41,0.43,0.38,0.00,8.75,0.00,0.00,6.25,0.60,3.00,30.00,0.10,1.74,27.50,0.03,206.25,296.25,21.63,120.00,3.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.45,112.50,6.04,3.81,4.50,0.36,0.30,0.14,0.09,0.03,3.41,0.24,3.16,0.45,1.09,1.86,2.64,2.99,0.98,1.40,35.24,1.49,0.41,1.19,1.75,"Poultry Products"
2023-04-20,6:12 PM,"Dinner","Olive Oil","1.00 tbsp",119.34,0.00,0.00,0.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.94,8.13,0.13,0.00,0.08,0.00,0.00,0.00,0.13,0.00,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.50,0.00,9.85,1.42,1.86,0.02,0.10,0.10,0.00,0.00,1.32,0.00,1.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Fats and Oils"
2023-04-20,6:13 PM,"Dinner","Hummus","2.00 tbsp",66.45,0.00,0.00,15.30,72.10,18.72,0.04,0.02,0.23,0.07,0.05,0.00,7.58,12.98,0.68,0.25,0.00,0.35,1.91,14.64,0.11,0.51,17.15,0.23,41.25,43.08,2.17,50.76,0.33,3.56,5.13,1.56,1.41,0.15,3.03,0.87,4.51,0.00,2.25,1.25,0.60,0.02,0.03,0.03,0.00,0.00,1.18,0.00,1.18,0.03,0.06,0.09,0.15,0.12,0.04,0.11,2.07,0.08,0.02,0.06,0.10,"Legumes and Legume Products"
2023-04-20,6:14 PM,"Dinner","Osmow's Shawarma, Garlic Sauce","30.00 g",162.14,,,,,,,,,,,,,,0.00,0.00,,,,107.14,,0.39,,,,,,158.57,,1.43,1.43,0.00,,,,1.43,9.29,10.00,,,1.43,0.00,,,,,,,,,,,,,,,0.00,,,,,"Restaurant Foods"
2023-04-20,9:55 AM,"Snacks","Milk, 2% Fat, Reduced Fat","1.00 cup",122.00,0.00,0.00,0.73,0.00,217.40,0.14,0.33,0.27,0.95,0.15,1.34,7.32,4.88,203.13,0.49,110.29,0.07,47.34,307.44,0.00,0.00,29.28,0.00,251.32,387.96,4.39,95.16,1.05,11.95,11.96,0.00,0.00,0.00,0.00,11.93,4.64,19.52,0.98,0.14,2.71,0.17,0.02,0.02,0.00,0.00,0.12,0.01,0.11,0.05,0.24,0.42,0.82,0.71,0.22,0.40,8.20,0.40,0.10,0.40,0.52,"Dairy and Egg Products"
2023-04-21,7:27 AM,"Uncategorized","Coffe & Milk","1.00 full recipe",49.30,0.00,142.08,1.57,24.86,420.21,0.09,0.38,0.76,1.18,0.05,0.41,5.34,7.10,24.08,0.00,29.28,0.07,0.58,100.89,0.01,0.04,19.81,0.08,87.67,288.42,1.45,36.08,0.39,3.53,5.20,1.67,0.00,1.67,0.00,3.53,2.51,9.15,0.58,0.09,1.43,0.09,0.01,0.01,0.00,0.00,0.07,0.00,0.06,0.02,0.08,0.14,0.27,0.23,0.07,0.13,2.92,0.12,0.03,0.13,0.17,""
2023-04-21,7:27 AM,"Uncategorized","Gym water","1.00 full recipe",20.30,0.00,0.00,0.00,0.00,749.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.50,0.08,0.00,122.50,0.00,0.00,0.00,0.00,30.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,""
2023-04-21,9:05 PM,"Uncategorized","CanPrev, Magnesium Bis-Glycinate 200","2.00 capsule",,,,,,,,,,,,,,,,,,,,,,,400.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Supplements"
2023-04-21,7:25 AM,"Uncategorized","CanPrev, Magnesium Bis-Glycinate 200","2.00 capsule",,,,,,,,,,,,,,,,,,,,,,,400.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Supplements"
2023-04-21,8:05 AM,"Breakfast","Protein milkshake","1.00 full recipe",640.83,0.00,0.00,1.07,0.00,472.92,0.30,0.74,0.56,1.94,0.33,2.90,37.58,0.00,169.54,0.00,206.13,0.27,1.61,888.39,0.01,0.82,64.42,0.00,542.17,805.20,10.20,318.05,2.25,44.43,44.45,0.00,0.00,0.00,0.00,41.42,19.46,189.88,3.69,0.58,10.90,0.60,0.08,0.06,0.00,0.01,0.48,0.02,0.45,0.10,0.52,0.93,1.79,1.60,0.48,0.86,74.58,0.83,0.23,0.87,1.11,""
2023-04-21,1:15 PM,"Lunch","Egg fried rice with shrimp (Avacado oil)","0.75 full recipe",454.01,0.00,0.00,16.40,112.96,387.20,0.41,0.48,2.10,1.79,0.50,0.73,5678.82,95.86,669.54,22.21,57.42,2.69,32.77,106.52,0.25,2.77,56.89,1.04,248.51,560.61,31.38,171.37,2.10,52.32,59.75,6.98,4.79,2.18,32.85,13.13,18.07,246.18,10.04,2.60,3.56,0.00,0.18,0.16,0.03,0.00,2.16,0.10,2.06,0.30,0.35,0.72,1.17,0.97,0.37,0.75,16.25,0.71,0.18,0.52,0.85,"Ethnic Foods"
2023-04-21,1:16 PM,"Lunch","Eggs, Cooked","3.00 extra large",260.40,0.00,0.00,0.00,0.00,125.36,0.11,0.86,0.11,2.35,0.20,1.86,18.48,73.92,250.88,0.00,146.16,1.73,0.50,84.00,0.02,2.00,16.80,0.04,288.96,211.68,51.74,208.32,1.76,1.87,1.88,0.00,0.00,0.00,0.00,1.88,17.82,626.64,6.85,2.38,5.49,0.00,0.12,0.04,0.06,0.01,2.21,0.25,1.94,0.49,0.50,1.15,1.81,1.52,0.66,1.12,21.13,1.01,0.26,0.86,1.29,"Dairy and Egg Products"
2023-04-21,1:16 PM,"Lunch","Kirkland Signature, Roasted Whole Cashews, Unsalted","15.00 g",87.00,,,,,0.52,0.05,0.03,0.26,0.13,0.05,,,3.75,,0.05,,0.14,5.21,6.00,0.31,0.90,40.95,0.25,79.65,90.00,3.04,1.50,0.80,3.90,4.50,0.60,,,1.64,0.90,7.20,0.00,3.89,1.28,1.35,0.00,0.01,,,,1.27,,,0.05,0.06,0.11,0.20,0.13,0.05,0.13,2.40,0.10,0.04,0.07,0.15,"Nut and Seed Products"
