food_id,food_name,brand,original_serving,calories_per_original_serving,protein_g_per_original_serving,carbs_g_per_original_serving,fat_g_per_original_serving,fiber_g_per_original_serving,sodium_mg_per_original_serving,diary_entries,first_logged,last_logged,review_status
7e9ec5c5-ac77-4054-b707-8cc945a78f96,"M&S, Sandwich, Beef & Onion with Peppercorn Mayo",,1.30 pack,607.1,31.2,77.61,20.67,7.67,1248.0,1,2026-01-03,2026-01-03,Needs verified grams per original serving
8247104c-275c-4882-a330-8da9b3ec138a,"Nabisco, Chips Ahoy! Original Chocolate Chip Cookies",,1.00 each,54.5,0.6,7.41,2.7,0.29,36.62,1,2025-05-17,2025-05-17,Needs verified grams per original serving
1c5e724b-5b18-4378-bc98-499a862365de,"Nachos, with Cheese",,5.00 each - 1 nacho,156.48,5.11,12.6,9.89,1.38,312.57,1,2025-06-25,2025-06-25,Needs verified grams per original serving
635e5093-905c-4702-a823-decf61e16398,"Nature Valley, Granola Bars, Sweet & Salty Nut, Peanut",,1.00 Bar,170.0,4.0,20.0,8.0,1.0,140.0,1,2025-10-12,2025-10-12,Needs verified grams per original serving
afe12355-e749-4940-b8a5-d3c52796ff29,"Oatmeal Cookies, Homemade",,"2.00 each - approx 2 5/8"" diameter",129.99,1.84,21.01,4.65,0.82,79.63,1,2026-01-03,2026-01-03,Needs verified grams per original serving
4f86a313-850a-41ff-93a2-439a08ea10e0,"OMV, Smoky Hot Dogs",,1.00 Serving (grilled),242.43,8.9,20.7,15.0,2.7,560.0,1,2025-05-17,2025-05-17,Needs verified grams per original serving
39e8ad60-5b07-439f-9de7-78d25a07f550,"Osmow's Shawarma, Lamb Shawarma Platter",,0.70 Serving,967.4,39.9,37.8,58.8,2.1,508.2,1,2025-05-15,2025-05-15,Needs verified grams per original serving
92a148e2-18d9-4e03-9cf2-cc62a14209a0,"Osmow's Shawarma, Regular Beef Kofta Wrap",,1.00 Serving,550.0,30.0,21.0,23.0,3.0,614.0,1,2023-04-14,2023-04-14,Needs verified grams per original serving
28e0ed16-cef4-4756-9db4-533076d0090c,"Pams, Raspberry Jam",,3.00 serving,80.97,0.0,19.5,0.0,,3.0,1,2025-09-09,2025-09-09,Needs verified grams per original serving
134ef6af-b6fa-45b1-a1bb-43103ea2ebc7,"Peach, Fresh",,"1.00 medium - 2 2/3"" diameter",58.5,1.37,14.31,0.38,2.25,0.0,1,2023-08-02,2023-08-02,Needs verified grams per original serving
3402056e-c490-40c0-a638-29b2819d4ab4,"Piccadilly, Shrimp Scampi and Fettuccini",,2.20 Serving,1474.0,48.4,140.8,72.6,6.6,2134.0,1,2025-07-11,2025-07-11,Needs verified grams per original serving
064122fb-ee51-46c6-9c85-80ac7cee1c29,"Pizza, Homemade or Restaurant, Mixed Vegetables, Thin Crust",,"0.50 pizza 14"" diameter",964.51,45.37,108.78,39.34,7.53,2670.26,1,2025-03-16,2025-03-16,Needs verified grams per original serving
9fe227f6-0f50-4463-bc27-ff8ab353f14d,"Pokerrito, Poke Bowl, White Rice Bowl, Large",,1.00 Serving,410.0,7.0,90.0,0.5,0.0,0.0,1,2026-05-06,2026-05-06,Needs verified grams per original serving
af4a8182-8060-4f85-a210-1f71c96365f3,"Pokerrito, Protein, Albacore Tuna, Large",,1.00 Serving,180.0,23.0,2.0,8.0,0.0,50.0,1,2026-05-06,2026-05-06,Needs verified grams per original serving
a44c5c1e-5089-4021-a270-07bbcead0571,"Pom, Hotdog bun",,1.00 bun,110.0,4.0,21.0,1.5,1.0,160.0,1,2023-09-24,2023-09-24,Needs verified grams per original serving
636b18eb-d905-4637-9b63-9f47d010fdb8,"Pork or Ham Enchiladas, without Beans or Cheese",,"1.00 each - 6"" long, 6"" diameter tortilla rolled",141.19,9.6,15.39,4.6,1.8,1042.17,1,2023-07-31,2023-07-31,Needs verified grams per original serving
3e8d4c59-fa4d-46c7-b592-9376aeb1f2f7,"PRE, 1/3 lb Burger Patties",,1.00 Patty,300.0,29.0,0.0,21.0,0.0,115.0,1,2026-04-10,2026-04-10,Needs verified grams per original serving
8884c89c-5232-4d53-a5f4-0163b349652b,"President's Choice, Gigantico Burger Buns",,1.00 bun,190.0,7.0,34.0,2.5,2.0,280.0,1,2024-02-11,2024-02-11,Needs verified grams per original serving
3fa29392-12c6-49ab-bfe8-766449286ed0,"President's Choice, Sliders, Mini Beef Burgers",,1.00 burger,110.0,7.5,0.0,9.0,0.0,160.0,1,2024-05-15,2024-05-15,Needs verified grams per original serving
53251778-2022-4b58-9cd5-3ff7ad0424b1,"Pringles, Potato Crisps, Cheddar Cheese",,4.00 chip,38.65,0.3,3.96,2.46,0.18,53.17,1,2026-03-21,2026-03-21,Needs verified grams per original serving
ee05d68c-70b4-45b1-9ab8-7ce030c53ce4,"Real Food, Blueberry Cobbler",,1.00 Scoop,100.0,1.0,20.0,1.0,1.7,96.0,1,2024-03-29,2024-03-29,Needs verified grams per original serving
fe2eb4ef-b0c7-4de5-8de6-d596f6d457e8,"Rebel, Oat Bar, Peanut Butter Chocolate",,1.00 x 0.5 bar,190.0,4.0,24.0,9.0,3.0,130.0,1,2024-04-10,2024-04-10,Needs verified grams per original serving
4b04e35e-3a1c-451e-8915-bc1e686634c2,"Red's, Burrito, Chicken Al Pastor",,3.00 burrito,930.0,48.0,108.0,33.0,6.0,2370.0,1,2025-05-14,2025-05-14,Needs verified grams per original serving
a99a048b-fb87-4931-b939-c5ed48b9ef72,"Reese's, Peanut Butter Egg, Enrobed in Milk Chocolate",,1.00 Piece,170.0,4.0,18.0,10.0,1.0,135.0,1,2024-04-06,2024-04-06,Needs verified grams per original serving
73064a93-e2a5-47d5-8cbe-6873c1b4fae8,"Reese's, Pieces Big Cup Candy",,0.50 PACKAGE,199.87,4.0,23.0,11.0,1.5,114.95,1,2023-09-23,2023-09-23,Needs verified grams per original serving
23af0df4-4d16-4314-aeb7-f455f50bb6b7,"Samosa, without Meat",,1.00 regular,260.42,2.37,20.57,19.22,1.72,209.62,1,2023-06-09,2023-06-09,Needs verified grams per original serving
a3ee8806-2210-4714-8115-9987b9e32159,"San Daniele, Prosciutto Ham",,1.00 x 3.0 slices,80.0,8.0,0.0,4.5,0.0,600.0,1,2023-05-09,2023-05-09,Needs verified grams per original serving
e4caddaf-d208-4cfc-b628-bf8532dab353,"San Marcos, Whole Jalapeno Peppers",,2.00 serving,19.8,0.0,4.0,0.0,1.98,720.0,1,2024-03-07,2024-03-07,Needs verified grams per original serving
30b4d3d8-64c1-4378-ac28-317302202209,"Shake Shack, Double Shackburger",,1.00 Serving,760.0,51.0,27.0,48.0,0.0,2280.0,1,2026-02-21,2026-02-21,Needs verified grams per original serving
e0f32b2f-ba9e-4db7-b9eb-1e5f5db0c6e7,"Shake Shack, Regular Fries",,0.40 Serving,188.0,2.4,25.2,8.8,2.8,296.0,1,2026-02-21,2026-02-21,Needs verified grams per original serving
9e4acf7a-3a65-43ed-885a-2b43b7bf9d83,"Shake Shack, Strawberry Shake",,0.15 Serving,103.5,2.85,14.7,5.25,0.0,87.0,1,2026-02-21,2026-02-21,Needs verified grams per original serving
52fb2ecf-4ba7-4c9b-94bf-bf5f93ee5e83,"Siggi's, Icelandic Style Cream-Skyr, 4% Milkfat, Vanilla",,2.00 container,260.0,24.0,22.0,9.0,0.0,120.0,1,2023-07-17,2023-07-17,Needs verified grams per original serving
3ca2fbd6-d97d-47ed-b625-9b84e9d04e22,"Signature Select, Gourmet Skillet Entree, Orange Peel Chicken",,1.00 serving,479.4,29.0,53.99,14.99,2.04,1101.6,1,2025-06-18,2025-06-18,Needs verified grams per original serving
1a9b3071-ebec-4d5e-b437-0e40bc2c91d1,"Sour Patch, Candy, Strawberry",,0.55 x 11.0 pieces,77.0,0.0,19.25,0.0,0.0,16.5,1,2025-05-09,2025-05-09,Needs verified grams per original serving
e3c9e401-98ef-474c-9a45-42618b9cb77d,"Spring Rolls, Egg Wrapper with Pork, Fried",,0.40 medium,62.69,2.96,7.26,2.29,0.34,92.68,1,2025-09-09,2025-09-09,Needs verified grams per original serving
d771ee23-6854-4a0b-9847-2b1cc8587d48,"Subway, American Cheese",,"2.00 order - per 6"" sub",80.52,3.99,1.05,6.76,0.0,419.62,1,2026-02-05,2026-02-05,Needs verified grams per original serving
83ed87ba-3de6-4eb1-b4cb-08c710f43dcd,"Subway, Turkey Breast (meat only), Canada",,2.00 Serving,140.0,18.0,8.0,4.0,0.0,1000.0,1,2026-02-05,2026-02-05,Needs verified grams per original serving
582d0ad5-b7f3-439c-b1fc-0af6d2cfe7dd,"Subway, Turkey Breast Sandwich with Veggies, No Mayo",,"2.00 each - 6"" sub",607.58,39.14,77.9,15.54,7.9,2027.92,1,2026-02-05,2026-02-05,Needs verified grams per original serving
0998bc26-e7d5-4344-b7f3-6c6000540f04,"Sunrise, White Pitas",,0.25 pita,42.5,1.5,9.0,0.1,0.25,32.5,1,2023-07-12,2023-07-12,Needs verified grams per original serving
af2576f7-95ad-4ba9-958d-1dcc9cc552b0,"Sushi Do, Spicy Salmon Roll",,1.00 x 9.0 pieces,295.0,11.0,42.0,8.0,1.0,132.0,1,2024-07-20,2024-07-20,Needs verified grams per original serving
0e9f0946-32ed-4865-8962-da35c429046a,"Tapatio, Salsa Picante Hot Sauce, Salsa Picante",,4.00 tsp,0.0,0.0,0.0,0.0,0.0,360.0,1,2023-10-18,2023-10-18,Needs verified grams per original serving
b18aca5d-3a18-4bed-a547-c2edf27d376b,"The Keg, Garlic Cheese Toast",,0.50 Serving,370.0,14.0,37.5,16.0,1.5,990.0,1,2024-05-11,2024-05-11,Needs verified grams per original serving
c9a66177-5c6c-4a17-85be-0f404545ded0,"The Keg, Side Mixed Vegetables",,1.00 Serving,80.0,4.0,17.0,0.0,6.0,600.0,1,2023-10-14,2023-10-14,Needs verified grams per original serving
ae34fd8e-8719-4458-8e5c-8bb9003dd968,Tic Tacs,,1.00 piece,1.83,0.0,0.47,0.0,0.0,0.0,1,2023-12-05,2023-12-05,Needs verified grams per original serving
9296c883-4f36-497a-903e-574572285c39,"Tim Horton's, 1, large cream",,1.00 large cream,90.0,1.0,3.0,7.0,,30.0,1,2026-03-21,2026-03-21,Needs verified grams per original serving
66a7d692-06b5-43fc-b075-d5ab6bfc38d6,"Tim's, Potato Chips, Sea Salt & Vinegar",,0.70 bag,189.0,2.1,24.5,11.2,3.5,546.0,1,2025-08-30,2025-08-30,Needs verified grams per original serving
5766f3af-a510-4331-9030-0b21aaa51325,Tiramisu,,"1.00 piece - 2 3/4"" x 3 1/2""",534.23,9.27,37.81,38.26,0.34,264.97,1,2025-05-31,2025-05-31,Needs verified grams per original serving
060266f8-1156-45be-b87b-1dae3e143962,"Trader Joe's, Honeycrisp Apples",,1.00 medium apple,80.0,0.4,22.0,0.26,4.0,1.54,1,2023-05-01,2023-05-01,Needs verified grams per original serving
560d5e30-4e83-4e7f-ab2d-c7124bbc72aa,"Trader Joe's, Raises the Bar, Chewy Granola Bar",,0.70 Bar,105.0,1.4,17.5,3.5,1.4,49.0,1,2024-07-27,2024-07-27,Needs verified grams per original serving
795f37bb-ba52-47eb-b243-0b56ff41fc6a,"Twice Baked Potato, with Cheese, Skin Eaten",,1.00 small,247.9,6.72,30.58,11.99,3.04,419.04,1,2024-05-11,2024-05-11,Needs verified grams per original serving
a9f48ffa-d744-4086-92a3-2d6f8f3990ce,"Unreal, Dark Chocolate Coconut Bars, Dark Chocolate",,1.00 serving,70.05,1.0,8.0,5.0,1.01,0.0,1,2026-05-01,2026-05-01,Needs verified grams per original serving
9de45935-fc2f-4f72-9baa-a36ce81503b1,"Walmart, Tuxedo Cake",,1.00 serving,270.0,4.0,26.0,17.0,1.0,200.0,1,2023-11-30,2023-11-30,Needs verified grams per original serving
f4147b3a-1ceb-4f85-8e67-73d413e60bf4,"Western Family, Hamburger Buns, Brioche Style",,1.00 bun,190.0,6.0,34.0,4.0,1.0,280.0,1,2025-12-27,2025-12-27,Needs verified grams per original serving
949d722d-c056-40de-b11e-f1fda3f1d66d,"Western Family, Wraps, Original",,1.50 x 2.0 wraps,300.0,7.5,49.5,6.75,3.0,465.0,1,2024-07-01,2024-07-01,Needs verified grams per original serving
3c5a8a23-7be9-46e9-aac3-a508b32b3d80,"Whistler Chocolate, Dark Chocolate With Sea Salt, 74% Cacao",,1.00 x 0.5 bar,220.0,4.0,17.0,18.0,5.0,150.0,1,2024-01-04,2024-01-04,Needs verified grams per original serving
8b74ed36-b286-4cb1-a3f5-fcd048039c9a,"White Spot, Double Double",,1.00 Serving,1218.0,57.0,60.0,82.0,2.0,1720.0,1,2025-01-24,2025-01-24,Needs verified grams per original serving
fa53cd9f-7b07-4def-ad9f-62b4bc8209dc,"Whittaker's, Creamy Milk Hazella, Smooth Hazelnut Filling",,1.00 portion,142.11,2.5,12.1,9.6,,16.0,1,2026-03-24,2026-03-24,Needs verified grams per original serving
db8d7ae2-eb54-4c31-8981-bd69ba1e6859,"Whole Foods Bakery, Plain Bagel",,2.20 Bagel,616.0,19.8,121.0,4.4,4.4,1078.0,1,2024-10-31,2024-10-31,Needs verified grams per original serving
3ddcec7b-af46-4cd5-b819-b2c3944d9449,"Whole Foods Market, Mild Italian Sausage",,1.80 Link,504.0,32.4,1.8,39.6,0.0,936.0,1,2023-05-02,2023-05-02,Needs verified grams per original serving
5a215e6b-c8bf-46cf-bbe4-4789f2608707,"Whole Foods, Vanilla Pound Cake",,1.00 Slice (1/8 cake),210.0,3.0,27.0,10.0,0.0,50.0,1,2023-09-17,2023-09-17,Needs verified grams per original serving
929f71a7-99ec-44f7-9c3d-ff000164ee1e,"Whole Wheat Bread, Store Bought",,2.00 medium slice,181.44,8.96,30.75,2.52,4.32,327.6,1,2023-06-25,2023-06-25,Needs verified grams per original serving
18a8c1bd-cc4e-4e67-8b84-5c6e2be46963,"Wing Stop, Chicken Sandwich, Cajun",,1.00 sandwich,640.0,33.0,70.0,25.0,2.0,3940.0,1,2025-10-11,2025-10-11,Needs verified grams per original serving
e17e8b57-17c6-44dc-9e82-19595ea55e14,"Woolworths, Beef Brisket, Smoky Chipotle",,2.00 Serving,411.77,41.6,16.0,20.0,,788.0,1,2024-12-28,2024-12-28,Needs verified grams per original serving
ab5cdbc4-27dd-4995-80da-87c00069a8ac,Yogurt Covered Raisins,,5.00 piece,26.46,0.18,4.24,1.06,0.18,10.56,1,2024-04-14,2024-04-14,Needs verified grams per original serving
